step,time
479,8.433e-6
480,8.434e-6
481,9.097e-6
482,8.244e-6
483,8.338e-6
484,8.149e-6
485,8.244e-6
486,8.244e-6
487,8.244e-6
488,8.338e-6
489,8.244e-6
490,8.339e-6
491,8.149e-6
492,8.244e-6
493,8.243e-6
494,8.338e-6
495,8.149e-6
496,8.244e-6
497,8.244e-6
498,8.339e-6
499,8.244e-6
500,8.243e-6
